train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/fps,rollout/success rate,train/actor_loss,rollout/ep_len_mean,train/learning_rate,time/total timesteps
,19962,1316,-12469.350282369998,,266,0.0,,7077.03,,5322520
5171674,20114,1317,-12496.184824099999,37.8170574016571,265,0.0,224.70538403320313,7175.81,0.001,5332520
5181674,20268,1318,-12460.372831989996,37.99735326194763,263,0.0,222.70589556884767,7207.29,0.001,5342520
5191674,20419,1319,-12001.779641089995,36.89211053466797,262,0.0,219.97938674926758,7207.29,0.001,5352520
5196674,20490,1320,-11998.217534749996,37.41834028625488,261,0.0,217.76014474487306,7216.96,0.001,5356736
5206674,20655,1321,-12561.418219539995,36.03173425865173,259,0.0,218.41053604125977,7216.96,0.001,5366736
5214674,20791,1322,-12772.205971519998,35.70294511222839,258,0.0,217.96024401855468,7198.13,0.001,5374853
5224674,20942,1323,-12783.378993159997,35.202317571640016,257,0.0,217.4621610107422,7290.74,0.001,5384853
,20947,1324,-12748.93137918,,257,0.0,,7220.83,,5385123
,20955,1325,-12498.281398410001,,257,0.0,,7126.01,,5385641
5234674,21103,1326,-12508.03618605,33.962993787765505,255,0.0,217.45156454467772,7126.01,0.001,5395641
5238674,21159,1327,-12601.919626809999,34.375296377182,255,0.0,217.03085766601563,7158.3,0.001,5398963
5239674,21178,1328,-12494.228008299999,35.44988628578186,254,0.0,217.0694382019043,7069.18,0.001,5400051
5249674,21327,1329,-12504.376438849997,33.54423448562622,253,0.0,215.72323434448242,7069.18,0.001,5410051
5251674,21357,1330,-12504.149845939997,33.22668111991882,253,0.0,215.2478628540039,7075.85,0.001,5411808
5252674,21376,1331,-12350.293715169997,34.93446521377563,253,0.0,215.05534967041015,6987.3,0.001,5412953
5260674,21500,1332,-12609.247838129999,34.318740142822264,252,0.0,215.98714575195314,6964.66,0.001,5420689
,21511,1333,-12516.67757475,,252,0.0,,6872.26,,5421449
5261674,21523,1334,-12092.370809569999,34.48210522651672,251,0.0,215.69574908447265,6776.35,0.001,5421858
5266674,21608,1335,-12074.75194835,34.04790127754212,251,0.0,215.5541025390625,6803.44,0.001,5427591
5276674,21772,1336,-12738.932065169998,32.74603320503235,249,0.0,215.16089944458008,6881.42,0.001,5437591
5281674,21842,1337,-12746.702977900002,32.98643349456787,249,0.0,214.85738217163086,6890.03,0.001,5441860
5283674,21882,1338,-12672.301136379998,32.09531139945984,248,0.0,214.4889964904785,6824.72,0.001,5444589
5284674,21893,1339,-12473.984291400002,32.39900351524353,248,0.0,214.3012708129883,6738.42,0.001,5444794
5292674,22019,1340,-12471.99809772,34.76125328636169,247,0.0,212.69481857299806,6720.37,0.001,5452989
5302674,22181,1341,-12841.03004059,33.597318384170535,246,0.0,214.30449441528322,6738.0,0.001,5462989
,22188,1342,-12814.285584680001,,246,0.0,,6665.65,,5463383
5312674,22349,1343,-13139.44267947,35.03121823310852,244,0.0,216.08257333374024,6665.65,0.001,5473383
5322674,22506,1344,-13300.398686550001,33.18827917289734,243,0.0,216.07042779541015,6761.75,0.001,5483383
5323674,22517,1345,-13243.717828530001,32.793676858901975,243,0.0,216.3587166442871,6678.51,0.001,5483725
,22521,1346,-13057.73738702,,243,0.0,,6579.71,,5483845
5329674,22614,1347,-13109.131442139998,33.02417861747742,242,0.0,216.15939294433593,6633.08,0.001,5489797
5336674,22723,1348,-13141.193209340003,32.72749465370178,241,0.0,215.9787291870117,6697.67,0.001,5496689
5346674,22879,1349,-13262.478501569998,34.29165141487122,240,0.0,216.47634411621092,6791.11,0.001,5506689
5354674,23003,1350,-13211.867613740002,33.56582852554321,239,0.0,215.8296026916504,6771.36,0.001,5514714
5364674,23159,1351,-13242.359164820002,31.483714391708375,238,0.0,213.7471378479004,6771.36,0.001,5524714
5374674,23311,1352,-13081.085992830001,30.514781688690185,237,0.0,212.68831994628906,6771.36,0.001,5534714
5375674,23331,1353,-12919.195205120002,32.48039656448364,237,0.0,212.8811527404785,6689.81,0.001,5535869
,23339,1354,-12288.053556750003,,237,0.0,,6593.95,,5536283
5376674,23351,1355,-12237.972562080002,34.21154994010925,237,0.0,212.361078125,6498.14,0.001,5536702
5377674,23371,1356,-12174.713836710001,30.628987308502197,236,0.0,211.5463930053711,6409.7,0.001,5537858
,23378,1357,-12148.347084799998,,236,0.0,,6371.46,,5538243
5383674,23472,1358,-12174.791925139998,31.521762826919556,236,0.0,211.23751330566407,6423.95,0.001,5544173
5389674,23562,1359,-11766.926238359998,31.070806369781494,235,0.0,209.70149923706055,6379.85,0.001,5549763
,23568,1360,-11761.110465889999,,235,0.0,,6359.41,,5550087
5399674,23724,1361,-11855.668863159997,30.127605939865113,234,0.0,209.13767294311523,6359.41,0.001,5560087
