train/critic_loss,train/learning_rate,time/fps,time/total timesteps,time/episodes,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
4195.933645751953,0.001,290,5190000,519,0.0,12033674,-6838.71566015625,791656.0842756599,17857,10000.0
4496.704612792969,0.001,288,5200000,520,0.0,12043674,-6806.40507421875,792567.5009309,18006,10000.0
3976.272848876953,0.001,286,5210000,521,0.0,12053674,-6875.70934375,799036.0594694299,18153,10000.0
4407.302211914062,0.001,285,5220000,522,0.0,12063674,-6865.008180664063,799383.7123876901,18300,10000.0
4230.077446533203,0.001,283,5230000,523,0.0,12073674,-6933.580494140625,810118.03156148,18447,10000.0
4025.356907470703,0.001,281,5240000,524,0.0,12083674,-6916.222201171875,810076.44893216,18595,10000.0
3650.2460158691406,0.001,280,5250000,525,0.0,12093674,-6900.218751953125,809653.6264808999,18745,10000.0
3530.490304931641,0.001,278,5260000,526,0.0,12103674,-6904.631579101562,807697.33459622,18894,10000.0
3330.6487355957033,0.001,276,5270000,527,0.0,12113674,-6957.090130859375,810832.7398852798,19043,10000.0
3407.9400388183594,0.001,275,5280000,528,0.0,12123674,-6975.551067382812,810739.09608684,19192,10000.0
3338.6461369628905,0.001,273,5290000,529,0.0,12133674,-7019.313018554688,810144.2342178602,19340,10000.0
3201.9835615234374,0.001,271,5300000,530,0.0,12143674,-7073.39925390625,810711.7485255599,19487,10000.0
3165.0148940429685,0.001,270,5310000,531,0.0,12153674,-7096.380920898438,811137.9291569099,19636,10000.0
3673.7779270019532,0.001,268,5320000,532,0.0,12163674,-7008.3304775390625,800417.0961852398,19807,10000.0
3682.470572998047,0.001,266,5330000,533,0.0,12173674,-6866.513079101563,790180.4482055401,19964,10000.0
3380.698343505859,0.001,265,5340000,534,0.0,12183674,-6792.989442382813,788920.98215291,20127,10000.0
3485.2887768554688,0.001,263,5350000,535,0.0,12193674,-6785.717544921875,786732.5385896799,20278,10000.0
3730.1065793457033,0.001,262,5360000,536,0.0,12203674,-6805.65746484375,786888.3297307999,20425,10000.0
4029.7820322265625,0.001,260,5370000,537,0.0,12213674,-6760.925206054688,782060.3753054398,20578,10000.0
3832.7838559570314,0.001,259,5380000,538,0.0,12223674,-6670.8369765625,773548.6176163598,20743,10000.0
4009.6287197265624,0.001,257,5390000,539,0.0,12233674,-6558.106296875,762917.50408213,20905,10000.0
3826.002946777344,0.001,256,5400000,540,0.0,12243674,-6512.683094726563,763954.8865836601,21063,10000.0
3861.2341882324217,0.001,255,5410000,541,0.0,12253674,-6513.315698242188,764601.93081033,21210,10000.0
3785.9005439453126,0.001,253,5420000,542,0.0,12263674,-6533.040598632812,766919.78898934,21359,10000.0
3789.3874609375,0.001,252,5430000,543,0.0,12273674,-6461.038466796875,760571.2802899599,21516,10000.0
3604.209158203125,0.001,251,5440000,544,0.0,12283674,-6477.903561523438,761242.7339397,21664,10000.0
3899.707526611328,0.001,249,5450000,545,0.0,12293674,-6403.965885742187,753382.3057540201,21822,10000.0
3925.2762893066406,0.001,248,5460000,546,0.0,12303674,-6400.266751953125,753058.86600832,21971,10000.0
4666.937841064453,0.001,247,5470000,547,0.0,12313674,-6390.64205859375,753010.1229738102,22120,10000.0
4906.412989257812,0.001,245,5480000,548,0.0,12323674,-6313.969396484375,751093.27449699,22288,10000.0
4496.141306884766,0.001,244,5490000,549,0.0,12333674,-6226.886622070312,748873.7107031399,22443,10000.0
3399.918664550781,0.001,243,5500000,550,0.0,12343674,-6271.3660234375,754547.5192587401,22591,10000.0
3410.264501220703,0.001,242,5510000,551,0.0,12353674,-6262.511004882813,754170.39947563,22739,10000.0
3622.2590625,0.001,241,5520000,552,0.0,12363674,-6284.075583007812,754125.3578803602,22887,10000.0
3422.3535144042967,0.001,240,5530000,553,0.0,12373674,-6308.099299804688,758910.61746242,23034,10000.0
3954.5111560058594,0.001,238,5540000,554,0.0,12383674,-6255.556939453125,756561.8196632201,23183,10000.0
4604.695299804687,0.001,237,5550000,555,0.0,12393674,-6154.3018076171875,759142.62136739,23330,10000.0
4880.09699633789,0.001,236,5560000,556,0.0,12403674,-6134.124362304688,761574.4647078401,23478,10000.0
4461.573750732422,0.001,235,5570000,557,0.0,12413674,-6113.793858398438,758680.3089135201,23643,10000.0
4272.102804199219,0.001,234,5580000,558,0.0,12423674,-6116.758678710938,758918.7083387999,23791,10000.0
